sg_ott,sg_app,sg_arg,sg_putt,mse,rmse
1.2,1.0,1.0,0.6,7.8565449838760815,2.8029529043271637
1.2,1.0,0.7,0.7,7.856713784879315,2.8029830154461006
0.9,1.0,0.7,0.6,7.856776136048414,2.8029941377121026
1.3,1.0,0.8,0.7,7.856935367611342,2.803022541402645
1.1,1.0,0.8,0.6,7.857301504494649,2.803087851726137
1.0,1.0,0.7,0.6,7.857803289089702,2.8031773559819047
1.2,1.0,0.9,0.6,7.857836225885578,2.8031832308797755
1.4,1.0,0.9,0.7,7.857931532763371,2.8032002305870645
1.4,1.0,0.7,0.8,7.8587043201412845,2.803338067401305
1.3,1.0,1.0,0.6,7.859139659200635,2.803415712876104
1.1,1.0,0.7,0.6,7.859976221544461,2.803564913024926
1.2,1.0,0.8,0.6,7.859983062037423,2.803566132988024
1.3,1.0,0.7,0.7,7.860057265757216,2.8035793667662086
1.4,1.0,0.8,0.7,7.860555098769581,2.803668150614402
1.0,1.0,1.0,0.5,7.860840049464215,2.8037189676328502
1.3,1.0,0.9,0.6,7.860859583818989,2.8037224512813297
0.9,1.0,1.0,0.5,7.8609083620290745,2.8037311500978612
0.9,1.0,0.9,0.5,7.860938442861716,2.8037365145215976
1.0,1.0,0.9,0.5,7.861431111055466,2.8038243723627674
0.9,1.0,0.8,0.5,7.861960501519427,2.8039187758420225
1.1,1.0,1.0,0.5,7.861982373039699,2.8039226760093974
1.4,1.0,1.0,0.6,7.862378879409962,2.8039933807714243
1.0,1.0,0.8,0.5,7.862977275811115,2.804100083058933
1.2,1.0,0.7,0.6,7.863041502532616,2.8041115353231967
1.1,1.0,0.9,0.5,7.863091169159798,2.804120391345528
1.3,1.0,0.8,0.6,7.863393433245925,2.8041742872449857
1.4,1.0,0.7,0.7,7.863976474472615,2.8042782448381645
0.9,1.0,0.7,0.5,7.864066106814247,2.80429422614929
1.2,1.0,1.0,0.5,7.864093514236184,2.8042991128330415
1.4,1.0,0.9,0.6,7.86448220536877,2.804368414700317
1.1,1.0,0.8,0.5,7.865113962994195,2.8044810505678575
1.0,1.0,0.7,0.5,7.865556561938715,2.8045599586991745
1.2,1.0,0.9,0.5,7.865672686017433,2.804580661349827
