tourn_round_id,course_difficulty
11_2018_11_2,72.6585454163735
11_2018_11_3,73.4322545721582
11_2018_11_4,71.69185102750693
11_2019_11_1,72.86765898801713
11_2019_11_2,72.40963120880122
11_2019_11_3,72.74785019330508
11_2019_11_4,72.55348507393958
11_2020_11_1,72.18429182744947
11_2021_11_1,74.43862083874276
11_2021_11_2,72.6657643666183
11_2021_11_3,71.8933492203657
11_2021_11_4,72.38277167449304
11_2022_11_1,72.27626962161682
11_2022_11_2,74.83454948732138
11_2022_11_3,71.97264977286866
11_2022_11_4,72.0820090102902
11_2023_11_1,72.80222993919482
11_2023_11_2,73.82392993453806
11_2023_11_3,69.86573072580423
11_2023_11_4,72.43450881926756
11_2024_11_1,71.39875338169765
11_2024_11_2,72.08099193039665
11_2024_11_3,70.41639711798422
11_2024_11_4,71.22166539913908
11_2025_11_1,72.0369374402382
11_2025_11_2,71.12932266548268
11_2025_11_3,73.9312296664763
11_2025_11_4,72.7468156337977
12_2017_12_1,71.73159011680747
12_2017_12_2,72.34899841302402
12_2017_12_3,72.20878669090621
12_2017_12_4,72.97990620511209
12_2018_12_1,72.55837945783759
12_2018_12_2,70.90279318853848
12_2018_12_3,71.34774982323717
12_2018_12_4,72.62663892614563
12_2019_12_1,71.75678715743364
12_2019_12_2,71.8747358054247
12_2019_12_3,71.98231602996847
12_2019_12_4,72.61752908125752
12_2020_12_1,70.8491329547229
12_2020_12_2,69.58350324502554
12_2020_12_3,68.98035410849954
12_2020_12_4,69.66875573787641
12_2021_12_1,70.99627345698597
12_2021_12_2,70.4865296743161
12_2021_12_3,70.53804006265256
12_2021_12_4,70.8571097945883
12_2022_12_1,70.40251756734722
12_2022_12_2,72.55124482581417
12_2022_12_3,69.2171071893641
12_2022_12_4,70.29734496564299
12_2023_12_1,70.55838058764704
12_2023_12_2,69.91700726321741
12_2023_12_3,70.0134272696132
12_2023_12_4,70.4894260692976
12_2024_12_1,69.60597152105598
12_2024_12_2,69.10960419997829
12_2024_12_3,68.96104568363378
12_2024_12_4,70.68203533201087
12_2025_12_1,69.40897203192705
12_2025_12_2,69.44666093599207
12_2025_12_3,69.20658090192511
12_2025_12_4,69.8553985977147
13_2017_752_1,69.53290066760812
13_2017_752_2,69.92702959556192
13_2017_752_3,70.55524901090064
13_2017_752_4,70.0138096587017
13_2018_752_1,69.26858253491476
13_2018_752_2,70.22352339822405
13_2018_752_3,68.6987091358663
13_2018_752_4,68.48371423139041
13_2019_752_1,68.433068833107
13_2019_752_2,68.91449023071051
13_2019_752_3,69.26572925035993
13_2019_752_4,68.44481329620379
13_2020_752_1,69.59362230829002
13_2020_752_2,68.98803413724768
13_2020_752_3,68.32929129293618
13_2020_752_4,69.2981176979262
13_2021_752_1,68.33847194673982
13_2021_752_2,69.61324568668198
13_2021_752_3,69.50416017689065
13_2021_752_4,68.24130194828024
13_2022_752_1,69.2245023367401
13_2022_752_2,69.58580409568498
13_2022_752_3,68.97299080805738
13_2022_752_4,68.04117232176557
13_2023_752_1,69.4254313441266
13_2023_752_2,68.69926735991316
13_2023_752_3,68.47808893222052
13_2023_752_4,69.324975307997
13_2024_752_1,68.10270541574347
13_2024_752_2,68.44533016436549
13_2024_752_3,68.43127750992208
13_2024_752_4,69.07619981375109
13_2025_752_1,67.69196291938886
13_2025_752_2,68.6114271657159
13_2025_752_3,69.55842456715501
13_2025_752_4,68.81199794023459
14_2017_14_1,76.86349525533626
14_2017_14_2,76.59602075773235
14_2017_14_3,74.98019492147498
14_2017_14_4,74.3154278156161
14_2018_14_1,75.02144999448373
14_2018_14_2,75.75530840826067
14_2018_14_3,73.19751352644062
14_2018_14_4,72.40677427043065
14_2019_14_1,73.74914540390078
14_2019_14_2,72.81951279319472
